"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000227232.6",78.0431218511769,-0.570763758926797,0.587281378280481,-0.971874437084918,0.331113018445074,0.589137820043446
"ENSG00000268903.1",10.7736694740076,-1.87507674527508,1.44800829856725,-1.29493508229918,0.195342624948098,0.451259046192906
"ENSG00000269981.1",9.14960070123688,-2.42007499926745,1.55005123553744,-1.56128710057017,0.118456025784051,0.349319116802875
"ENSG00000279457.4",100.280944447946,-0.567469768562089,0.247493253515768,-2.29286964594344,0.0218555108414653,0.150534396662257
"ENSG00000292994.1",9.06312582077363,1.16020397742046,1.04793315041819,1.10713548565332,0.268235355267722,0.530051325803714
"ENSG00000290385.1",7.35900921070508,0.425858053708633,0.650054614034146,0.655111192990107,0.512396166087224,0.741424430112074
"ENSG00000293331.1",76.8358295153614,0.477209864428368,0.398781056770985,1.19667134716086,0.231434679297986,0.493335573643763
"ENSG00000225972.1",5.39627286312106,0.7530476632405,0.792204194316476,0.950572678916752,0.341821343243433,0.59962869686196
"ENSG00000225630.1",1539.7974354374,0.666040847655927,0.190187233029266,3.50202711847349,0.00046173261955106,0.0156696759930437
"ENSG00000237973.1",237.924184542657,-0.00418668992101956,0.316740537879393,-0.0132180425942629,0.989453834989334,1
"ENSG00000278791.1",8.7260902532411,2.93098920299078,0.820185949369373,3.57356670794515,0.000352151476291446,0.0132167443660192
"ENSG00000229344.1",13.3213223928629,0.0102148116596704,0.723531663836107,0.0141179884312351,0.988735849192946,1
"ENSG00000248527.1",9143.25323389412,0.315458740772538,0.185877680438482,1.69713082296043,0.0896719300119598,0.304811658032524
"ENSG00000198744.5",20.1741821883375,1.00769628690672,0.550175232333511,1.8315915142757,0.0670123020149264,0.266228083166483
"ENSG00000291215.1",55.701496564404,0.0598896812844044,0.406324681493943,0.14739365835274,0.88282131075711,0.972000816420571
"ENSG00000237491.10",14.7363189456438,-0.359065879534804,0.453342093848978,-0.792041781265564,0.428336314632432,0.679365147159804
"ENSG00000225880.6",16.4650224611928,-1.0788013797552,0.861666819933657,-1.25199364162387,0.210572180871423,0.469047569644869
"ENSG00000228794.12",318.941024590478,-0.339587685986289,0.229069390384405,-1.48246645008493,0.138216224209159,0.377997143784989
"ENSG00000272438.1",52.0798558239421,-1.1381559282807,0.852826096235745,-1.33456977138055,0.182017197091951,0.436561439330797
"ENSG00000223764.2",189.773375238257,-0.351410842089948,0.505414045376673,-0.69529298859918,0.486871707335526,0.72208320184857
"ENSG00000187634.13",706.483689413993,-0.901508311936644,0.405067123908277,-2.22557758634784,0.0260424888914107,0.164675810730472
"ENSG00000188976.11",3068.99640928616,-0.543742058912011,0.278307112877819,-1.95374833682645,0.0507309867994106,0.231545904209397
"ENSG00000187961.15",302.995174926828,-0.525021179323224,0.397826872309811,-1.31972276350995,0.186927597003494,0.441686065383305
