"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000227232.6",78.0431218511769,-0.159484388918757,0.586058763376806,-0.27213037136383,0.785521777477863,0.904001642446451
"ENSG00000268903.1",10.7736694740076,2.50463812847259,1.44800829856725,1.72971255133748,0.0836816450844663,0.199806103797981
"ENSG00000269981.1",9.14960070123688,1.12604591949169,1.55005123553743,0.726457225203439,0.467558520934505,0.663147978654393
"ENSG00000279457.4",100.280944447946,-0.304112350198384,0.244674332951044,-1.24292706362147,0.213894711705678,0.392599662461523
"ENSG00000292994.1",9.06312582077363,-4.3928954467025,0.949068647373589,-4.62863825378618,3.68078093276612e-06,4.64653872009966e-05
"ENSG00000290385.1",7.35900921070508,0.26890578774553,0.680664681915091,0.395063523773478,0.692796007659574,0.842731641918111
"ENSG00000293331.1",76.8358295153614,0.0974222110891232,0.408688665826905,0.238377570104636,0.811588262528471,0.920578332821275
"ENSG00000225972.1",5.39627286312106,-0.865743684223355,0.798276711929869,-1.08451577164312,0.27813617793791,0.472000298888978
"ENSG00000225630.1",1539.7974354374,-0.830800718522498,0.190272780410373,-4.3663666275894,1.2633036641824e-05,0.000135795918215595
"ENSG00000237973.1",237.924184542657,-0.237071050615159,0.316882135612858,-0.748136369873479,0.454377906464714,0.651431302123601
"ENSG00000278791.1",8.7260902532411,-0.238777994320359,0.908251047773123,-0.262898672020034,0.792628679895577,0.908528810603235
"ENSG00000229344.1",13.3213223928629,-0.912275307587284,0.683794858409874,-1.33413595666503,0.182159303679247,0.351056529951263
"ENSG00000248527.1",9143.25323389412,-0.753019085244788,0.185866367111633,-4.05140046016243,5.09119846288227e-05,0.000458436259632862
"ENSG00000198744.5",20.1741821883375,0.27488339827016,0.587671883493147,0.467749786898501,0.639963532855132,0.802136274389196
"ENSG00000291215.1",55.701496564404,0.483049458099004,0.411117659454748,1.17496645300924,0.240008137366779,0.426204043296772
"ENSG00000237491.10",14.7363189456438,-0.0385904878437365,0.451565017423421,-0.0854594274461946,0.931896149634428,0.994698336368312
"ENSG00000225880.6",16.4650224611928,-0.635580055859602,0.810019167900974,-0.784648167655833,0.432659880472425,0.632554250134656
"ENSG00000228794.12",318.941024590478,-0.201551041438572,0.228335993989739,-0.882695005359642,0.377401081462002,0.577973120454987
"ENSG00000272438.1",52.0798558239421,-0.449080856614204,0.849798923588074,-0.528455431219031,0.597183273095416,0.770884558388312
"ENSG00000223764.2",189.773375238257,0.161821244101368,0.505552671650483,0.320087803261069,0.748901771256028,0.88247863625777
"ENSG00000187634.13",706.483689413993,0.265517639358576,0.404939533325654,0.655697005372516,0.512019096050363,0.701083162977462
"ENSG00000188976.11",3068.99640928616,-0.267953742009897,0.278143436452642,-0.963365324838503,0.335364221252457,0.535317137148134
"ENSG00000187961.15",302.995174926828,-0.0133969201610078,0.397606033880412,-0.0336939558745156,0.973121198751061,1
"ENSG00000187583.11",64.9681524873831,-0.162893388805401,0.546474967357893,-0.29808023886796,0.76564192349138,0.892959063375742
"ENSG00000187642.10",13.9084195208194,2.151351908026,1.2123547293179,1.77452345918295,0.0759766052348392,0.185933604376808
"ENSG00000272512.1",43.9272070789351,-0.437856170265723,0.708887025549745,-0.61766706750792,0.536794824791885,0.722764540589098
"ENSG00000188290.11",423.890487984353,-0.515836829011604,0.479833102178964,-1.0750338537903,0.282359571838832,0.476702913001466
"ENSG00000187608.10",60.2594496548375,-0.76891485240744,0.325732061155143,-2.36057466888779,0.0182466446027873,0.061619404433304
"ENSG00000231702.2",4.04844637153068,-1.3600920771196,1.15365106718141,-1.17894579722668,0.23841975983095,0.424545005623783
