"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000227232.6",78.0431218511769,-0.250631731029645,0.58632820840141,-0.427459786922035,0.669044468837404,0.82207008972212
"ENSG00000268903.1",10.7736694740076,0.675087384719588,1.71896292161816,0.392729462764729,0.694519307396308,0.840005028102059
"ENSG00000269981.1",9.14960070123688,-1.24849130526389,1.75582948744736,-0.711054982382688,0.477050164980216,0.667068171349112
"ENSG00000279457.4",100.280944447946,-0.746646323614318,0.247003638215471,-3.02281508486523,0.00250435220799684,0.013453428807874
"ENSG00000292994.1",9.06312582077363,-0.769969013002356,0.65655142455099,-1.17274745619345,0.240897094609045,0.42820762836109
"ENSG00000290385.1",7.35900921070508,-0.516419648521968,0.709697741941723,-0.727661394425535,0.466820888116073,0.657928745547844
"ENSG00000293331.1",76.8358295153614,0.427199273759662,0.40561908059423,1.05320310162386,0.292247917259926,0.486748438765754
"ENSG00000225972.1",5.39627286312106,-0.369875509280179,0.780304435656183,-0.474014362060032,0.635489665631346,0.797531764194537
"ENSG00000225630.1",1539.7974354374,-0.0948079450625353,0.189815529905767,-0.499474121583215,0.617445413233958,0.783706655866201
"ENSG00000237973.1",237.924184542657,-0.891090127868678,0.318278979148585,-2.79971404411437,0.0051147894135202,0.023934352262676
"ENSG00000278791.1",8.7260902532411,-1.54203343513489,1.03650855321683,-1.48771896801927,0.136825023179679,0.289216408476315
"ENSG00000229344.1",13.3213223928629,-1.13072853673274,0.70780025595538,-1.59752490511112,0.110148750673868,0.246926009354081
"ENSG00000248527.1",9143.25323389412,-1.12276486370626,0.185925709530205,-6.03878219178644,1.55281677662085e-09,4.59994590179744e-08
"ENSG00000198744.5",20.1741821883375,-0.313302773870956,0.606394528392111,-0.516664909067858,0.605390096019522,0.773250487678759
"ENSG00000291215.1",55.701496564404,-0.166519846358417,0.414698990166465,-0.401543891610573,0.688019729922218,0.835944065128463
"ENSG00000237491.10",14.7363189456438,-0.184822683629155,0.455423548205588,-0.40582592700218,0.684870507065641,0.834736733397863
"ENSG00000225880.6",16.4650224611928,2.16239549019805,0.77372844477039,2.79477315951562,0.00519361434750485,0.0242430890440929
"ENSG00000228794.12",318.941024590478,0.088925821915295,0.227601390557672,0.390708605502839,0.696012637225023,0.841333746633042
"ENSG00000272438.1",52.0798558239421,-1.53906305868496,0.85257184804721,-1.80520042059815,0.0710433251620261,0.179367132790437
"ENSG00000223764.2",189.773375238257,-0.079425700614286,0.505770965514434,-0.157038869428774,0.875214214755945,0.955667114423063
"ENSG00000187634.13",706.483689413993,-0.532414893687456,0.405212637524587,-1.31391482985313,0.188874867530104,0.36328671488781
"ENSG00000188976.11",3068.99640928616,-0.432685564953822,0.278197246002472,-1.55531936843823,0.119870026762338,0.262690850708253
"ENSG00000187961.15",302.995174926828,-0.869258005800021,0.398555523454694,-2.18102109905606,0.0291818559398982,0.0931078319793369
"ENSG00000187583.11",64.9681524873831,-1.714353147047,0.729240043499215,-2.35087631614521,0.0187292582872654,0.0663818822391005
"ENSG00000187642.10",13.9084195208194,-2.14136379333542,1.63382503368376,-1.31064449937293,0.189977897657709,0.364836218351271
"ENSG00000272512.1",43.9272070789351,-0.0769969677944369,0.707193685561005,-0.10887677501441,0.913300227970975,0.979014212427594
"ENSG00000188290.11",423.890487984353,-0.0331155532441163,0.47960044339393,-0.0690482123197624,0.94495124316301,0.997446024659181
"ENSG00000187608.10",60.2594496548375,-0.841239029721034,0.328202959230705,-2.5631671076119,0.0103722112963729,0.0421202967100639
"ENSG00000231702.2",4.04844637153068,-1.9310000770341,1.19274794672335,-1.6189506612347,0.10545787928327,0.238761742893285
"ENSG00000188157.15",4594.71466683427,-0.814730933079392,0.455133212145978,-1.79009334264553,0.0734389068669582,0.183609741220198
